series_id,check_timestamp,data_available,response_time_ms,record_count,last_period,error_message
ACOSS/ACOSS_STAT_QUARTERLY_PAYROLL_EMPLOYMENT/payroll_seasonally_adjusted.N47.levels.Q,2025-07-13T17:39:01.159711,1,356,108,,
ACOSS/ACOSS_STAT_QUARTERLY_PAYROLL_EMPLOYMENT/payroll_seasonally_adjusted.N46.levels.Q,2025-07-13T17:39:01.142532,1,385,108,,
ACOSS/ACOSS_STAT_QUARTERLY_PAYROLL_EMPLOYMENT/payroll_seasonally_adjusted.N56.levels.Q,2025-07-13T17:39:01.270670,1,361,108,,
ACOSS/ACOSS_STAT_QUARTERLY_PAYROLL_EMPLOYMENT/payroll_seasonally_adjusted.NZ.levels.Q,2025-07-13T17:39:01.304399,1,344,108,,
ACOSS/ACOSS_STAT_QUARTERLY_PAYROLL_EMPLOYMENT/payroll_seasonally_adjusted.OQ.levels.Q,2025-07-13T17:39:01.344271,1,341,108,,
ACOSS/ACOSS_STAT_QUARTERLY_PAYROLL_EMPLOYMENT/payroll_seasonally_adjusted.N55.levels.Q,2025-07-13T17:39:01.253139,1,400,108,,
ACOSS/ACOSS_STAT_QUARTERLY_PAYROLL_EMPLOYMENT/payroll_seasonally_adjusted.OZ.levels.Q,2025-07-13T17:39:01.392351,1,352,108,,
ACOSS/ACOSS_STAT_QUARTERLY_PAYROLL_EMPLOYMENT/payroll_seasonally_adjusted.PZ.levels.Q,2025-07-13T17:39:01.477623,1,361,108,,
ACOSS/ACOSS_STAT_QUARTERLY_PAYROLL_EMPLOYMENT/payroll_seasonally_adjusted.QB.levels.Q,2025-07-13T17:39:01.528913,1,357,108,,
ACOSS/ACOSS_STAT_QUARTERLY_PAYROLL_EMPLOYMENT/payroll_seasonally_adjusted.QA.levels.Q,2025-07-13T17:39:01.500627,1,355,108,,
ACOSS/ACOSS_STAT_QUARTERLY_PAYROLL_EMPLOYMENT/payroll_seasonally_adjusted.RZ.levels.Q,2025-07-13T17:39:01.600368,1,378,108,,
ACOSS/ACOSS_STAT_QUARTERLY_PAYROLL_EMPLOYMENT/payroll_seasonally_adjusted.TERTIAIRE.levels.Q,2025-07-13T17:39:01.664001,1,359,108,,
ACOSS/ACOSS_STAT_QUARTERLY_PAYROLL_EMPLOYMENT/payroll_seasonally_adjusted.SZ.levels.Q,2025-07-13T17:39:01.679067,1,408,108,,
ACOSS/ACOSS_STAT_QUARTERLY_PAYROLL_EMPLOYMENT/payroll_seasonally_adjusted.TERT_INTERIM.levels.Q,2025-07-13T17:39:01.725414,1,388,108,,
ACOSS/ACOSS_STAT_QUARTERLY_PAYROLL_EMPLOYMENT/payroll_seasonally_adjusted.TOT_INTERIM.levels.Q,2025-07-13T17:39:01.750648,1,326,108,,
ACOSS/ACOSS_STAT_QUARTERLY_PAYROLL_EMPLOYMENT/payroll_seasonally_adjusted.TZ.levels.Q,2025-07-13T17:39:01.824108,1,369,108,,
ACOSS/ACOSS_STAT_QUARTERLY_PAYROLL_EMPLOYMENT/payroll_seasonally_adjusted.TOT.levels.Q,2025-07-13T17:39:01.792085,1,401,108,,
ACOSS/ACOSS_STAT_QUARTERLY_PAYROLL_EMPLOYMENT/payroll_seasonally_adjusted.Tert_March.levels.Q,2025-07-13T17:39:01.883539,1,354,108,,
ACOSS/ACOSS_STAT_QUARTERLY_PAYROLL_EMPLOYMENT/workforce_not_seasonally_adjusted.ASSOC.levels.Q,2025-07-13T17:39:01.949731,1,356,108,,
ACOSS/ACOSS_STAT_QUARTERLY_PAYROLL_EMPLOYMENT/workforce_not_seasonally_adjusted.BTP.levels.Q,2025-07-13T17:39:02.010409,1,377,108,,
ACOSS/ACOSS_STAT_QUARTERLY_PAYROLL_EMPLOYMENT/workforce_not_seasonally_adjusted.BZ.levels.Q,2025-07-13T17:39:02.085480,1,399,108,,
ACOSS/ACOSS_STAT_QUARTERLY_PAYROLL_EMPLOYMENT/workforce_not_seasonally_adjusted.CA.levels.Q,2025-07-13T17:39:02.069991,1,343,108,,
ACOSS/ACOSS_STAT_QUARTERLY_PAYROLL_EMPLOYMENT/workforce_not_seasonally_adjusted.CAISSE_CONGES.levels.Q,2025-07-13T17:39:02.174087,1,389,108,,
ACOSS/ACOSS_STAT_QUARTERLY_PAYROLL_EMPLOYMENT/workforce_not_seasonally_adjusted.CD.levels.Q,2025-07-13T17:39:02.258257,1,351,108,,
ACOSS/ACOSS_STAT_QUARTERLY_PAYROLL_EMPLOYMENT/workforce_not_seasonally_adjusted.CB.levels.Q,2025-07-13T17:39:02.241558,1,390,108,,
ACOSS/ACOSS_STAT_QUARTERLY_PAYROLL_EMPLOYMENT/workforce_not_seasonally_adjusted.CC.levels.Q,2025-07-13T17:39:02.281585,1,401,108,,
ACOSS/ACOSS_STAT_QUARTERLY_PAYROLL_EMPLOYMENT/workforce_not_seasonally_adjusted.CE.levels.Q,2025-07-13T17:39:02.298781,1,364,108,,
ACOSS/ACOSS_STAT_QUARTERLY_PAYROLL_EMPLOYMENT/workforce_not_seasonally_adjusted.CF.levels.Q,2025-07-13T17:39:02.338112,1,357,108,,
ACOSS/ACOSS_STAT_QUARTERLY_PAYROLL_EMPLOYMENT/workforce_not_seasonally_adjusted.CG.levels.Q,2025-07-13T17:39:02.386663,1,346,108,,
ACOSS/ACOSS_STAT_QUARTERLY_PAYROLL_EMPLOYMENT/workforce_not_seasonally_adjusted.CI.levels.Q,2025-07-13T17:39:02.513812,1,364,108,,
ACOSS/ACOSS_STAT_QUARTERLY_PAYROLL_EMPLOYMENT/workforce_not_seasonally_adjusted.CJ.levels.Q,2025-07-13T17:39:02.591644,1,394,108,,
ACOSS/ACOSS_STAT_QUARTERLY_PAYROLL_EMPLOYMENT/workforce_not_seasonally_adjusted.CM.levels.Q,2025-07-13T17:39:02.791205,1,375,108,,
ACOSS/ACOSS_STAT_QUARTERLY_PAYROLL_EMPLOYMENT/workforce_not_seasonally_adjusted.CL.levels.Q,2025-07-13T17:39:02.751752,1,380,108,,
ACOSS/ACOSS_STAT_QUARTERLY_PAYROLL_EMPLOYMENT/workforce_not_seasonally_adjusted.CH.levels.Q,2025-07-13T17:39:02.434832,1,333,108,,
ACOSS/ACOSS_STAT_QUARTERLY_PAYROLL_EMPLOYMENT/workforce_not_seasonally_adjusted.CK.levels.Q,2025-07-13T17:39:02.618460,1,363,108,,
ACOSS/ACOSS_STAT_QUARTERLY_PAYROLL_EMPLOYMENT/workforce_not_seasonally_adjusted.CONC_INSEE.levels.Q,2025-07-13T17:39:02.989693,1,361,108,,
ACOSS/ACOSS_STAT_QUARTERLY_PAYROLL_EMPLOYMENT/workforce_not_seasonally_adjusted.EZ.levels.Q,2025-07-13T17:39:03.103187,1,399,108,,
ACOSS/ACOSS_STAT_QUARTERLY_PAYROLL_EMPLOYMENT/workforce_not_seasonally_adjusted.DZ.levels.Q,2025-07-13T17:39:03.046569,1,386,108,,
ACOSS/ACOSS_STAT_QUARTERLY_PAYROLL_EMPLOYMENT/workforce_not_seasonally_adjusted.FZ.levels.Q,2025-07-13T17:39:03.111543,1,378,108,,
ACOSS/ACOSS_STAT_QUARTERLY_PAYROLL_EMPLOYMENT/workforce_not_seasonally_adjusted.HZ.levels.Q,2025-07-13T17:39:03.224247,1,346,108,,
ACOSS/ACOSS_STAT_QUARTERLY_PAYROLL_EMPLOYMENT/workforce_not_seasonally_adjusted.GZ.levels.Q,2025-07-13T17:39:03.168316,1,370,108,,
ACOSS/ACOSS_STAT_QUARTERLY_PAYROLL_EMPLOYMENT/workforce_not_seasonally_adjusted.INDUSTRIE.levels.Q,2025-07-13T17:39:03.277791,1,373,108,,
ACOSS/ACOSS_STAT_QUARTERLY_PAYROLL_EMPLOYMENT/workforce_not_seasonally_adjusted.INTERIM.levels.Q,2025-07-13T17:39:03.393367,1,444,108,,
ACOSS/ACOSS_STAT_QUARTERLY_PAYROLL_EMPLOYMENT/workforce_not_seasonally_adjusted.ISBLSM.levels.Q,2025-07-13T17:39:03.398874,1,396,108,,
ACOSS/ACOSS_STAT_QUARTERLY_PAYROLL_EMPLOYMENT/workforce_not_seasonally_adjusted.JA.levels.Q,2025-07-13T17:39:03.491038,1,398,108,,
ACOSS/ACOSS_STAT_QUARTERLY_PAYROLL_EMPLOYMENT/workforce_not_seasonally_adjusted.IZ.levels.Q,2025-07-13T17:39:03.450584,1,385,108,,
ACOSS/ACOSS_STAT_QUARTERLY_PAYROLL_EMPLOYMENT/workforce_not_seasonally_adjusted.JB.levels.Q,2025-07-13T17:39:03.572656,1,424,108,,
ACOSS/ACOSS_STAT_QUARTERLY_PAYROLL_EMPLOYMENT/workforce_not_seasonally_adjusted.KZ.levels.Q,2025-07-13T17:39:03.621953,1,403,108,,
ACOSS/ACOSS_STAT_QUARTERLY_PAYROLL_EMPLOYMENT/workforce_not_seasonally_adjusted.JC.levels.Q,2025-07-13T17:39:03.602184,1,415,108,,
ACOSS/ACOSS_STAT_QUARTERLY_PAYROLL_EMPLOYMENT/workforce_not_seasonally_adjusted.MA.levels.Q,2025-07-13T17:39:03.722139,1,387,108,,
ACOSS/ACOSS_STAT_QUARTERLY_PAYROLL_EMPLOYMENT/workforce_not_seasonally_adjusted.LZ.levels.Q,2025-07-13T17:39:03.683045,1,378,108,,
ACOSS/ACOSS_STAT_QUARTERLY_PAYROLL_EMPLOYMENT/workforce_not_seasonally_adjusted.MB.levels.Q,2025-07-13T17:39:03.759065,1,386,108,,
