series_id,dimension_key,dimension_value,scraped_at
ACOSS/ACOSS_STAT_QUARTERLY_PAYROLL_EMPLOYMENT/payroll_not_seasonally_adjusted.MA.levels.Q,measurement,levels,2025-07-13T17:38:58.215522
ACOSS/ACOSS_STAT_QUARTERLY_PAYROLL_EMPLOYMENT/payroll_not_seasonally_adjusted.MA.levels.Q,sector,MA,2025-07-13T17:38:58.215525
ACOSS/ACOSS_STAT_QUARTERLY_PAYROLL_EMPLOYMENT/payroll_not_seasonally_adjusted.MB.levels.Q,freq,Q,2025-07-13T17:38:58.271692
ACOSS/ACOSS_STAT_QUARTERLY_PAYROLL_EMPLOYMENT/payroll_not_seasonally_adjusted.MB.levels.Q,indicator,payroll_not_seasonally_adjusted,2025-07-13T17:38:58.271774
ACOSS/ACOSS_STAT_QUARTERLY_PAYROLL_EMPLOYMENT/payroll_not_seasonally_adjusted.MB.levels.Q,measurement,levels,2025-07-13T17:38:58.271782
ACOSS/ACOSS_STAT_QUARTERLY_PAYROLL_EMPLOYMENT/payroll_not_seasonally_adjusted.MB.levels.Q,sector,MB,2025-07-13T17:38:58.271786
ACOSS/ACOSS_STAT_QUARTERLY_PAYROLL_EMPLOYMENT/payroll_not_seasonally_adjusted.MC.levels.Q,freq,Q,2025-07-13T17:38:58.331425
ACOSS/ACOSS_STAT_QUARTERLY_PAYROLL_EMPLOYMENT/payroll_not_seasonally_adjusted.MC.levels.Q,indicator,payroll_not_seasonally_adjusted,2025-07-13T17:38:58.331568
ACOSS/ACOSS_STAT_QUARTERLY_PAYROLL_EMPLOYMENT/payroll_not_seasonally_adjusted.MC.levels.Q,measurement,levels,2025-07-13T17:38:58.331576
ACOSS/ACOSS_STAT_QUARTERLY_PAYROLL_EMPLOYMENT/payroll_not_seasonally_adjusted.MC.levels.Q,sector,MC,2025-07-13T17:38:58.331580
ACOSS/ACOSS_STAT_QUARTERLY_PAYROLL_EMPLOYMENT/payroll_not_seasonally_adjusted.N30.levels.Q,freq,Q,2025-07-13T17:38:58.375381
ACOSS/ACOSS_STAT_QUARTERLY_PAYROLL_EMPLOYMENT/payroll_not_seasonally_adjusted.N30.levels.Q,indicator,payroll_not_seasonally_adjusted,2025-07-13T17:38:58.375475
ACOSS/ACOSS_STAT_QUARTERLY_PAYROLL_EMPLOYMENT/payroll_not_seasonally_adjusted.N30.levels.Q,measurement,levels,2025-07-13T17:38:58.375485
ACOSS/ACOSS_STAT_QUARTERLY_PAYROLL_EMPLOYMENT/payroll_not_seasonally_adjusted.N30.levels.Q,sector,N30,2025-07-13T17:38:58.375489
ACOSS/ACOSS_STAT_QUARTERLY_PAYROLL_EMPLOYMENT/payroll_not_seasonally_adjusted.N29.levels.Q,freq,Q,2025-07-13T17:38:58.445975
ACOSS/ACOSS_STAT_QUARTERLY_PAYROLL_EMPLOYMENT/payroll_not_seasonally_adjusted.N29.levels.Q,indicator,payroll_not_seasonally_adjusted,2025-07-13T17:38:58.446096
ACOSS/ACOSS_STAT_QUARTERLY_PAYROLL_EMPLOYMENT/payroll_not_seasonally_adjusted.N29.levels.Q,measurement,levels,2025-07-13T17:38:58.446120
ACOSS/ACOSS_STAT_QUARTERLY_PAYROLL_EMPLOYMENT/payroll_not_seasonally_adjusted.N29.levels.Q,sector,N29,2025-07-13T17:38:58.446125
ACOSS/ACOSS_STAT_QUARTERLY_PAYROLL_EMPLOYMENT/payroll_not_seasonally_adjusted.N42.levels.Q,freq,Q,2025-07-13T17:38:58.475046
